YearStart,LocationAbbr,LocationDesc,Class,Topic,Data_Value,Break_Out_Category,Break_Out,Data_Value_TypeID,LocationId
2010,AL,Alabama,Cardiovascular Diseases,Major Cardiovascular Disease,81.0,Age,18-24,Crude,1
2010,AL,Alabama,Cardiovascular Diseases,Major Cardiovascular Disease,439.0,Age,25-44,Crude,1
2010,AL,Alabama,Cardiovascular Diseases,Major Cardiovascular Disease,2557.0,Age,45-64,Crude,1
2010,AL,Alabama,Cardiovascular Diseases,Major Cardiovascular Disease,1.7917,Age,65,Crude,1
2010,AL,Alabama,Cardiovascular Diseases,Major Cardiovascular Disease,6062.0,Age,35,Crude,1
2010,AL,Alabama,Cardiovascular Diseases,Major Cardiovascular Disease,3.15,Age,75,Crude,1
2010,AK,Alaska,Cardiovascular Diseases,Major Cardiovascular Disease,278.0,Age,25-44,Crude,2
2010,AK,Alaska,Cardiovascular Diseases,Major Cardiovascular Disease,1443.0,Age,45-64,Crude,2
2010,AK,Alaska,Cardiovascular Diseases,Major Cardiovascular Disease,1.0562,Age,65,Crude,2
2010,AK,Alaska,Cardiovascular Diseases,Major Cardiovascular Disease,2649.0,Age,35,Crude,2
2010,AK,Alaska,Cardiovascular Diseases,Major Cardiovascular Disease,2.1784,Age,75,Crude,2
2010,AZ,Arizona,Cardiovascular Diseases,Major Cardiovascular Disease,139.0,Age,25-44,Crude,4
2010,AZ,Arizona,Cardiovascular Diseases,Major Cardiovascular Disease,1340.0,Age,45-64,Crude,4
2010,AZ,Arizona,Cardiovascular Diseases,Major Cardiovascular Disease,1.205,Age,65,Crude,4
2010,AZ,Arizona,Cardiovascular Diseases,Major Cardiovascular Disease,3956.0,Age,35,Crude,4
2010,AZ,Arizona,Cardiovascular Diseases,Major Cardiovascular Disease,2.2274,Age,75,Crude,4
2010,AR,Arkansas,Cardiovascular Diseases,Major Cardiovascular Disease,340.0,Age,25-44,Crude,5
2010,AR,Arkansas,Cardiovascular Diseases,Major Cardiovascular Disease,2410.0,Age,45-64,Crude,5
2010,AR,Arkansas,Cardiovascular Diseases,Major Cardiovascular Disease,1.7595,Age,65,Crude,5
2010,AR,Arkansas,Cardiovascular Diseases,Major Cardiovascular Disease,6096.0,Age,35,Crude,5
2010,AR,Arkansas,Cardiovascular Diseases,Major Cardiovascular Disease,3.1451,Age,75,Crude,5
2010,CA,California,Cardiovascular Diseases,Major Cardiovascular Disease,27.0,Age,18-24,Crude,6
2010,CA,California,Cardiovascular Diseases,Major Cardiovascular Disease,151.0,Age,25-44,Crude,6
2010,CA,California,Cardiovascular Diseases,Major Cardiovascular Disease,1292.0,Age,45-64,Crude,6
2010,CA,California,Cardiovascular Diseases,Major Cardiovascular Disease,1.5126,Age,65,Crude,6
2010,CA,California,Cardiovascular Diseases,Major Cardiovascular Disease,4150.0,Age,35,Crude,6
2010,CA,California,Cardiovascular Diseases,Major Cardiovascular Disease,2.7307,Age,75,Crude,6
2010,CO,Colorado,Cardiovascular Diseases,Major Cardiovascular Disease,133.0,Age,25-44,Crude,8
2010,CO,Colorado,Cardiovascular Diseases,Major Cardiovascular Disease,1026.0,Age,45-64,Crude,8
2010,CO,Colorado,Cardiovascular Diseases,Major Cardiovascular Disease,1.2059,Age,65,Crude,8
2010,CO,Colorado,Cardiovascular Diseases,Major Cardiovascular Disease,3156.0,Age,35,Crude,8
2010,CO,Colorado,Cardiovascular Diseases,Major Cardiovascular Disease,2.2955,Age,75,Crude,8
2010,CT,Connecticut,Cardiovascular Diseases,Major Cardiovascular Disease,176.0,Age,25-44,Crude,9
2010,CT,Connecticut,Cardiovascular Diseases,Major Cardiovascular Disease,1138.0,Age,45-64,Crude,9
2010,CT,Connecticut,Cardiovascular Diseases,Major Cardiovascular Disease,1.5242,Age,65,Crude,9
2010,CT,Connecticut,Cardiovascular Diseases,Major Cardiovascular Disease,4493.0,Age,35,Crude,9
2010,CT,Connecticut,Cardiovascular Diseases,Major Cardiovascular Disease,2.666,Age,75,Crude,9
2010,DE,Delaware,Cardiovascular Diseases,Major Cardiovascular Disease,264.0,Age,25-44,Crude,10
2010,DE,Delaware,Cardiovascular Diseases,Major Cardiovascular Disease,1616.0,Age,45-64,Crude,10
2010,DE,Delaware,Cardiovascular Diseases,Major Cardiovascular Disease,1.435,Age,65,Crude,10
2010,DE,Delaware,Cardiovascular Diseases,Major Cardiovascular Disease,4703.0,Age,35,Crude,10
2010,DE,Delaware,Cardiovascular Diseases,Major Cardiovascular Disease,2.6344,Age,75,Crude,10
2010,DC,"Washington, DC",Cardiovascular Diseases,Major Cardiovascular Disease,187.0,Age,25-44,Crude,11
2010,DC,"Washington, DC",Cardiovascular Diseases,Major Cardiovascular Disease,2670.0,Age,45-64,Crude,11
2010,DC,"Washington, DC",Cardiovascular Diseases,Major Cardiovascular Disease,1.6916,Age,65,Crude,11
2010,DC,"Washington, DC",Cardiovascular Diseases,Major Cardiovascular Disease,5395.0,Age,35,Crude,11
2010,DC,"Washington, DC",Cardiovascular Diseases,Major Cardiovascular Disease,2.8168,Age,75,Crude,11
2010,FL,Florida,Cardiovascular Diseases,Major Cardiovascular Disease,34.0,Age,18-24,Crude,12
2010,FL,Florida,Cardiovascular Diseases,Major Cardiovascular Disease,210.0,Age,25-44,Crude,12
2010,FL,Florida,Cardiovascular Diseases,Major Cardiovascular Disease,1519.0,Age,45-64,Crude,12
2010,FL,Florida,Cardiovascular Diseases,Major Cardiovascular Disease,1.376,Age,65,Crude,12
2010,FL,Florida,Cardiovascular Diseases,Major Cardiovascular Disease,4963.0,Age,35,Crude,12
2010,FL,Florida,Cardiovascular Diseases,Major Cardiovascular Disease,2.4336,Age,75,Crude,12
2010,GA,Georgia,Cardiovascular Diseases,Major Cardiovascular Disease,41.0,Age,18-24,Crude,13
2010,GA,Georgia,Cardiovascular Diseases,Major Cardiovascular Disease,269.0,Age,25-44,Crude,13
2010,GA,Georgia,Cardiovascular Diseases,Major Cardiovascular Disease,2029.0,Age,45-64,Crude,13
2010,GA,Georgia,Cardiovascular Diseases,Major Cardiovascular Disease,1.4984,Age,65,Crude,13
2010,GA,Georgia,Cardiovascular Diseases,Major Cardiovascular Disease,4316.0,Age,35,Crude,13
2010,GA,Georgia,Cardiovascular Diseases,Major Cardiovascular Disease,2.7708,Age,75,Crude,13
2010,HI,Hawaii,Cardiovascular Diseases,Major Cardiovascular Disease,207.0,Age,25-44,Crude,15
2010,HI,Hawaii,Cardiovascular Diseases,Major Cardiovascular Disease,1382.0,Age,45-64,Crude,15
2010,HI,Hawaii,Cardiovascular Diseases,Major Cardiovascular Disease,1.2471,Age,65,Crude,15
2010,HI,Hawaii,Cardiovascular Diseases,Major Cardiovascular Disease,4072.0,Age,35,Crude,15
2010,HI,Hawaii,Cardiovascular Diseases,Major Cardiovascular Disease,2.1392,Age,75,Crude,15
2010,ID,Idaho,Cardiovascular Diseases,Major Cardiovascular Disease,160.0,Age,25-44,Crude,16
2010,ID,Idaho,Cardiovascular Diseases,Major Cardiovascular Disease,1146.0,Age,45-64,Crude,16
2010,ID,Idaho,Cardiovascular Diseases,Major Cardiovascular Disease,1.4511,Age,65,Crude,16
2010,ID,Idaho,Cardiovascular Diseases,Major Cardiovascular Disease,4301.0,Age,35,Crude,16
2010,ID,Idaho,Cardiovascular Diseases,Major Cardiovascular Disease,2.7065,Age,75,Crude,16
2010,IL,Illinois,Cardiovascular Diseases,Major Cardiovascular Disease,33.0,Age,18-24,Crude,17
2010,IL,Illinois,Cardiovascular Diseases,Major Cardiovascular Disease,215.0,Age,25-44,Crude,17
2010,IL,Illinois,Cardiovascular Diseases,Major Cardiovascular Disease,1609.0,Age,45-64,Crude,17
2010,IL,Illinois,Cardiovascular Diseases,Major Cardiovascular Disease,1.6087,Age,65,Crude,17
2010,IL,Illinois,Cardiovascular Diseases,Major Cardiovascular Disease,4775.0,Age,35,Crude,17
2010,IL,Illinois,Cardiovascular Diseases,Major Cardiovascular Disease,2.8102,Age,75,Crude,17
2010,IN,Indiana,Cardiovascular Diseases,Major Cardiovascular Disease,45.0,Age,18-24,Crude,18
2010,IN,Indiana,Cardiovascular Diseases,Major Cardiovascular Disease,242.0,Age,25-44,Crude,18
2010,IN,Indiana,Cardiovascular Diseases,Major Cardiovascular Disease,1791.0,Age,45-64,Crude,18
2010,IN,Indiana,Cardiovascular Diseases,Major Cardiovascular Disease,1.6793,Age,65,Crude,18
2010,IN,Indiana,Cardiovascular Diseases,Major Cardiovascular Disease,5157.0,Age,35,Crude,18
2010,IN,Indiana,Cardiovascular Diseases,Major Cardiovascular Disease,2.9493,Age,75,Crude,18
2010,IA,Iowa,Cardiovascular Diseases,Major Cardiovascular Disease,199.0,Age,25-44,Crude,19
2010,IA,Iowa,Cardiovascular Diseases,Major Cardiovascular Disease,1470.0,Age,45-64,Crude,19
2010,IA,Iowa,Cardiovascular Diseases,Major Cardiovascular Disease,1.7169,Age,65,Crude,19
2010,IA,Iowa,Cardiovascular Diseases,Major Cardiovascular Disease,5578.0,Age,35,Crude,19
2010,IA,Iowa,Cardiovascular Diseases,Major Cardiovascular Disease,2.8876,Age,75,Crude,19
2010,KS,Kansas,Cardiovascular Diseases,Major Cardiovascular Disease,193.0,Age,25-44,Crude,20
2010,KS,Kansas,Cardiovascular Diseases,Major Cardiovascular Disease,1445.0,Age,45-64,Crude,20
2010,KS,Kansas,Cardiovascular Diseases,Major Cardiovascular Disease,1.6732,Age,65,Crude,20
