YearStart,LocationAbbr,LocationDesc,Class,Topic,Data_Value,Break_Out_Category,Break_Out,Data_Value_TypeID,LocationId
2010,AL,Alabama,Cardiovascular Diseases,Major Cardiovascular Disease,3823.0,Overall,Overall,AgeStdz,1
2010,AL,Alabama,Cardiovascular Diseases,Major Cardiovascular Disease,4297.0,Overall,Overall,Crude,1
2010,AK,Alaska,Cardiovascular Diseases,Major Cardiovascular Disease,1770.0,Overall,Overall,Crude,2
2010,AK,Alaska,Cardiovascular Diseases,Major Cardiovascular Disease,2076.0,Overall,Overall,AgeStdz,2
2010,AZ,Arizona,Cardiovascular Diseases,Major Cardiovascular Disease,2401.0,Overall,Overall,AgeStdz,4
2010,AZ,Arizona,Cardiovascular Diseases,Major Cardiovascular Disease,2734.0,Overall,Overall,Crude,4
2010,AR,Arkansas,Cardiovascular Diseases,Major Cardiovascular Disease,3714.0,Overall,Overall,AgeStdz,5
2010,AR,Arkansas,Cardiovascular Diseases,Major Cardiovascular Disease,4302.0,Overall,Overall,Crude,5
2010,CA,California,Cardiovascular Diseases,Major Cardiovascular Disease,2796.0,Overall,Overall,Crude,6
2010,CA,California,Cardiovascular Diseases,Major Cardiovascular Disease,2839.0,Overall,Overall,AgeStdz,6
2010,CO,Colorado,Cardiovascular Diseases,Major Cardiovascular Disease,2166.0,Overall,Overall,Crude,8
2010,CO,Colorado,Cardiovascular Diseases,Major Cardiovascular Disease,2208.0,Overall,Overall,AgeStdz,8
2010,CT,Connecticut,Cardiovascular Diseases,Major Cardiovascular Disease,3287.0,Overall,Overall,Crude,9
2010,CT,Connecticut,Cardiovascular Diseases,Major Cardiovascular Disease,2862.0,Overall,Overall,AgeStdz,9
2010,DE,Delaware,Cardiovascular Diseases,Major Cardiovascular Disease,3352.0,Overall,Overall,Crude,10
2010,DE,Delaware,Cardiovascular Diseases,Major Cardiovascular Disease,2887.0,Overall,Overall,AgeStdz,10
2010,DC,"Washington, DC",Cardiovascular Diseases,Major Cardiovascular Disease,3149.0,Overall,Overall,Crude,11
2010,DC,"Washington, DC",Cardiovascular Diseases,Major Cardiovascular Disease,3590.0,Overall,Overall,AgeStdz,11
2010,FL,Florida,Cardiovascular Diseases,Major Cardiovascular Disease,3630.0,Overall,Overall,Crude,12
2010,FL,Florida,Cardiovascular Diseases,Major Cardiovascular Disease,2826.0,Overall,Overall,AgeStdz,12
2010,GA,Georgia,Cardiovascular Diseases,Major Cardiovascular Disease,3047.0,Overall,Overall,AgeStdz,13
2010,GA,Georgia,Cardiovascular Diseases,Major Cardiovascular Disease,2962.0,Overall,Overall,Crude,13
2010,HI,Hawaii,Cardiovascular Diseases,Major Cardiovascular Disease,2871.0,Overall,Overall,Crude,15
2010,HI,Hawaii,Cardiovascular Diseases,Major Cardiovascular Disease,2489.0,Overall,Overall,AgeStdz,15
2010,ID,Idaho,Cardiovascular Diseases,Major Cardiovascular Disease,2702.0,Overall,Overall,AgeStdz,16
2010,ID,Idaho,Cardiovascular Diseases,Major Cardiovascular Disease,2945.0,Overall,Overall,Crude,16
2010,IL,Illinois,Cardiovascular Diseases,Major Cardiovascular Disease,3312.0,Overall,Overall,Crude,17
2010,IL,Illinois,Cardiovascular Diseases,Major Cardiovascular Disease,3147.0,Overall,Overall,AgeStdz,17
2010,IN,Indiana,Cardiovascular Diseases,Major Cardiovascular Disease,3622.0,Overall,Overall,Crude,18
2010,IN,Indiana,Cardiovascular Diseases,Major Cardiovascular Disease,3323.0,Overall,Overall,AgeStdz,18
2010,IA,Iowa,Cardiovascular Diseases,Major Cardiovascular Disease,3935.0,Overall,Overall,Crude,19
2010,IA,Iowa,Cardiovascular Diseases,Major Cardiovascular Disease,3330.0,Overall,Overall,AgeStdz,19
2010,KS,Kansas,Cardiovascular Diseases,Major Cardiovascular Disease,3531.0,Overall,Overall,Crude,20
2010,KS,Kansas,Cardiovascular Diseases,Major Cardiovascular Disease,3213.0,Overall,Overall,AgeStdz,20
2010,KY,Kentucky,Cardiovascular Diseases,Major Cardiovascular Disease,3369.0,Overall,Overall,AgeStdz,21
2010,KY,Kentucky,Cardiovascular Diseases,Major Cardiovascular Disease,3730.0,Overall,Overall,Crude,21
2010,LA,Louisiana,Cardiovascular Diseases,Major Cardiovascular Disease,3801.0,Overall,Overall,Crude,22
2010,LA,Louisiana,Cardiovascular Diseases,Major Cardiovascular Disease,3629.0,Overall,Overall,AgeStdz,22
2010,ME,Maine,Cardiovascular Diseases,Major Cardiovascular Disease,3267.0,Overall,Overall,Crude,23
2010,ME,Maine,Cardiovascular Diseases,Major Cardiovascular Disease,2587.0,Overall,Overall,AgeStdz,23
2010,MD,Maryland,Cardiovascular Diseases,Major Cardiovascular Disease,3015.0,Overall,Overall,AgeStdz,24
2010,MD,Maryland,Cardiovascular Diseases,Major Cardiovascular Disease,3158.0,Overall,Overall,Crude,24
2010,MA,Massachusetts,Cardiovascular Diseases,Major Cardiovascular Disease,3031.0,Overall,Overall,Crude,25
2010,MA,Massachusetts,Cardiovascular Diseases,Major Cardiovascular Disease,2733.0,Overall,Overall,AgeStdz,25
2010,MI,Michigan,Cardiovascular Diseases,Major Cardiovascular Disease,3926.0,Overall,Overall,Crude,26
2010,MI,Michigan,Cardiovascular Diseases,Major Cardiovascular Disease,3442.0,Overall,Overall,AgeStdz,26
2010,MN,Minnesota,Cardiovascular Diseases,Major Cardiovascular Disease,2355.0,Overall,Overall,AgeStdz,27
2010,MN,Minnesota,Cardiovascular Diseases,Major Cardiovascular Disease,2536.0,Overall,Overall,Crude,27
2010,MS,Mississippi,Cardiovascular Diseases,Major Cardiovascular Disease,4077.0,Overall,Overall,AgeStdz,28
2010,MS,Mississippi,Cardiovascular Diseases,Major Cardiovascular Disease,4411.0,Overall,Overall,Crude,28
2010,MO,Missouri,Cardiovascular Diseases,Major Cardiovascular Disease,3889.0,Overall,Overall,Crude,29
2010,MO,Missouri,Cardiovascular Diseases,Major Cardiovascular Disease,3427.0,Overall,Overall,AgeStdz,29
